LectureHall;RoomNumber;BuildingID
NS1 Lab 2-24;2-24;27
NS1 Lab 4-38;4-38;27
NS1 Lab 4-42;4-42;27
NS1 Lab 4-44;4-44;27
NS1 Lab 4-48;4-48;27
NS1 Lab 4-49;4-49;27
NS1 Lab 4-55;4-55;27
NS1 Lab 4-54;4-54;27
NS1 Lab 4-58;4-58;27
NS1 Lab 4-61;4-61;27
NS1 Lab 4-66;4-66;27
NS1 Lab 4-73;4-73;27
NS1 5-42;5-42;27
Solar Cells Lab 5-47;5-47;27
NS1 Lab 5-55;5-55;27
NS1 Lab 5-69;5-69;27
NS1 5-31;5-31;27
PEBA Lab 5-25;5-25;27
SMS Lab 5-23;5-23;27
Raman Lab 5-21;5-21;27
AES Lab 5-19;5-19;27
MBE Lab 5-16;5-16;27
UHV Lab 5-12;5-12;27
General Chem Lab 5-9;5-9;27
Halfgeleier Karakterisering 5-6;5-6;27
Carbon Lab 4-21;4-21;27
Carbon Lab 4-20;4-20;27
AFM Lab 4-4;4-4;27
Sputter Lab 4-4***;4-4***;27
Radioactive Vault 4-2;4-2;27
Carbon Lab 4-19;4-19;27
Epsilon Lab 3-2.2;3-2.2;27
Delta Lab 3-2.3;3-2.3;27
Alpha Lab 3-2.4;3-2.4;27
Gamma Lab 3-2.5;3-2.5;27
Beta Lab 3-2.6;3-2.6;27
Theta Lab 3-1.3;3-1.3;27
Lambda Lab 3-1.4;3-1.4;27
Omega Lab 3-1.6;3-1.6;27
Tau Lab 3-1.5;3-1.5;27
NS2 IT Lab 5-8;5-8;28
NS2 4-1;4-1;28
NS2 Lab 1;2-11;28
NS2 Lab 2;2-12;28
NS2 Lab 3;2-13;28
NS2 Lab 4;2-14;28
Rautenbach Hall;1-30;29
Eng III 3-1;3-1;31
Eng III 3-2;3-2;31
Eng III 3-3;3-3;31
Eng III 3-4;3-4;31
Eng III 3-5;3-5;31
Eng III 3-6;3-6;31
Eng III 3-7;3-7;31
ABC Lab;3-8;31
Net Lab;3-9;31
Project Lab;3-10;31
Music 2-2;2-2;32
Music 2-3;2-3;32
Music 2-4;2-4;32
Music 3-3;3-3;32
Music Practice Room 2-12;2-12;32
Music Practice Room 2-8;2-8;32
Music Practice Room 2-9;2-9;32
Music Practice Room 2-36;2-36;32
Theology 1-25;1-25;34
Theology 2-1;2-1;34
Centenary Hall 2-10;2-10;34
Theology 1-11;1-11;34
Theology 1-9;1-9;34
Theology 1-28;1-28;34
Theology 1-28;1-28;34
Theology 2-38;2-38;34
Louw Hall;1-3;39
Van Der Bijl Hall;1-1;39
Muller Hall;3-4;39
Roos Hall;3-3;39
Te Water Hall;3-1;39
Plaza;1-1;41
HB 1-1;1-1;42
HB 1-2;1-2;42
HB 1-3;1-3;42
HB 1-4;1-4;42
HB 1-5;1-5;42
HB 1-6;1-6;42
